season_week,QB_points,WR1_points,WR2_points,WR3_points,RB1_points,RB2_points,TE_points,W/R/T_points,DEF_points,BN1_points,BN2_points,BN3_points,BN4_points,BN5_points,BN6_points,BN7_points,W/R/T position,WR_total_points,RB_total_points,TE_total_points,BN_points,manager,win,points_for
Jake|2017|5,12.63,22.1,5.4,0.0,30.9,16.5,8.1,1.2,13.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,RB,27.5,48.6,8.1,11.4,Jake,1,113.33
Jake|2017|6,12.8,13.9,16.3,0.0,20.8,8.9,9.5,8.1,9.5,3.5,7.8,0.0,27.5,14.9,0.0,0.0,RB,30.200000000000003,37.800000000000004,9.5,53.699999999999996,Jake,1,108.3
Jake|2017|7,27.23,2.2,1.9,0.0,0.0,10.5,13.4,19.0,21.5,0.0,3.9,8.9,4.7,7.5,0.0,0.0,RB,4.1,29.5,13.4,25.0,Jake,1,110.23
Jake|2017|8,14.73,9.1,7.8,0.0,6.6,14.9,4.6,6.2,25.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,RB,16.9,27.7,4.6,7.3,Jake,0,101.43
Jake|2017|9,23.43,17.0,12.9,0.0,8.4,4.2,1.0,8.4,7.0,0.0,16.0,8.8,0.0,11.5,0.0,0.0,RB,29.9,21.0,1.0,36.3,Jake,1,94.33
Jake|2017|10,13.5,12.9,0.8,0.0,0.3,5.6,9.4,31.1,5.5,0.0,8.0,0.0,17.5,1.6,0.0,0.0,RB,13.700000000000001,37.0,9.4,27.1,Jake,0,93.6
Jake|2017|11,16.9,14.9,10.5,0.0,12.8,23.0,1.2,16.6,12.0,0.0,6.53,2.2,13.9,0.0,0.0,0.0,WR,42.0,35.8,1.2,22.630000000000003,Jake,1,108.4
Jake|2017|12,22.47,4.3,16.7,0.0,5.7,4.6,7.9,10.6,13.5,0.0,20.53,8.2,0.7,10.5,0.0,0.0,WR,31.6,10.3,7.9,39.93,Jake,0,99.77
Jake|2017|13,13.6,3.7,6.2,0.0,15.4,21.2,7.3,8.6,20.5,4.3,21.0,3.1,12.4,7.0,0.0,0.0,RB,9.9,45.2,7.3,47.800000000000004,Jake,1,109.5
Jake|2017|15,22.87,9.4,14.2,0.0,29.6,25.9,6.7,4.2,16.5,0.0,0.0,22.9,3.7,3.0,0.0,0.0,RB,23.6,59.7,6.7,29.599999999999998,Jake,1,136.37
Jake|2017|16,17.83,7.2,17.0,0.0,14.1,4.6,6.4,14.5,18.5,0.0,0.0,6.43,3.1,9.5,0.0,0.0,RB,24.2,33.2,6.4,19.03,Jake,1,103.13
Frags|2017|1,13.97,12.0,7.9,0.0,16.5,5.6,6.9,1.4,10.5,0.0,0.0,0.0,11.8,1.1,0.0,0.0,RB,19.9,23.5,6.9,12.9,Frags,1,82.27
Frags|2017|2,15.9,14.5,18.8,0.0,2.2,10.6,20.3,5.6,19.0,11.1,8.6,3.4,1.6,1.2,0.0,0.0,WR,38.9,12.8,20.3,25.9,Frags,1,116.4
Frags|2017|3,10.43,10.2,24.4,0.0,12.2,10.1,0.6,8.6,10.0,8.5,4.1,27.8,10.0,9.7,0.0,0.0,WR,43.199999999999996,22.299999999999997,0.6,60.099999999999994,Frags,0,88.53
Frags|2017|4,9.1,15.2,12.5,0.0,1.2,27.0,20.9,16.3,17.5,9.5,18.4,2.8,2.1,4.5,0.0,0.0,WR,44.0,28.2,20.9,37.3,Frags,1,131.2
Frags|2017|5,0.5,7.4,19.0,0.0,5.3,3.9,13.8,8.7,15.0,0.0,8.1,5.9,22.6,0.0,0.0,0.0,WR,35.099999999999994,9.2,13.8,36.6,Frags,0,86.1
Frags|2017|6,17.9,17.0,7.0,0.0,5.4,22.4,5.7,14.8,13.0,7.7,0.0,4.6,13.5,1.0,0.0,0.0,RB,24.0,42.599999999999994,5.7,26.8,Frags,1,107.7
Frags|2017|7,10.3,17.3,5.6,0.0,7.2,3.4,11.3,14.9,7.5,0.0,9.3,-0.5,12.5,6.8,0.0,0.0,RB,22.9,25.5,11.3,28.1,Frags,0,87.5
Frags|2017|8,17.1,8.5,8.1,0.0,22.2,11.4,22.8,5.3,9.5,16.8,4.1,12.1,7.6,6.1,0.0,0.0,RB,16.6,38.9,22.8,46.7,Frags,1,117.4
Frags|2017|9,4.43,1.8,2.0,0.0,9.2,9.2,16.8,3.9,7.5,10.2,5.1,0.0,0.0,0.0,0.0,0.0,RB,3.8,22.299999999999997,16.8,15.299999999999999,Frags,0,57.83
Frags|2017|10,12.83,7.4,3.3,0.0,5.7,5.1,2.3,16.2,7.0,12.0,6.6,0.0,0.0,13.8,0.0,0.0,RB,10.7,27.0,2.3,32.400000000000006,Frags,0,64.33
Frags|2017|11,17.53,34.2,5.7,0.0,8.5,5.4,12.9,1.9,10.0,0.0,10.5,0.0,4.8,4.7,0.0,0.0,RB,39.900000000000006,15.8,12.9,20.0,Frags,0,100.13
Frags|2017|12,17.73,28.7,2.5,0.0,5.9,3.3,5.4,6.5,6.5,5.8,10.2,0.2,14.9,18.3,0.0,0.0,RB,31.2,15.7,5.4,49.400000000000006,Frags,0,83.53
Frags|2017|13,17.7,20.5,13.9,0.0,13.7,21.6,23.4,23.8,14.5,12.6,3.3,0.0,5.1,3.2,0.0,0.0,RB,34.4,59.099999999999994,23.4,24.2,Frags,1,153.6
Frags|2017|14,6.7,14.1,3.0,0.0,21.8,13.8,10.9,16.0,3.5,6.5,5.6,14.5,0.0,6.8,0.0,0.0,RB,17.1,51.6,10.9,33.4,Frags,0,93.3
Frags|2017|15,-0.23,7.9,3.1,0.0,20.3,8.2,7.6,17.3,4.5,5.6,6.2,8.3,0.0,6.3,0.0,0.0,RB,11.0,45.8,7.6,26.400000000000002,Frags,0,75.67
Peter|2017|1,16.4,2.2,24.2,0.0,14.1,7.0,2.8,14.0,35.5,7.1,0.0,15.6,0.0,5.4,0.0,0.0,RB,26.4,35.1,2.8,28.1,Peter,1,120.7
Peter|2017|2,15.03,4.1,4.8,0.0,0.7,3.3,1.5,13.6,6.5,11.5,4.5,10.5,1.3,4.4,0.0,0.0,WR,22.5,4.0,1.5,32.2,Peter,0,55.53
Peter|2017|3,1.9,33.3,7.8,0.0,29.1,18.5,0.0,12.2,9.0,0.0,2.7,0.6,3.5,2.6,0.0,0.0,RB,41.099999999999994,59.8,0.0,9.4,Peter,1,115.3
Peter|2017|4,17.57,12.3,7.0,0.0,13.3,4.5,8.6,8.1,17.0,0.0,-0.7,0.0,7.8,17.9,0.0,0.0,RB,19.3,25.9,8.6,25.0,Peter,1,91.87
Peter|2017|5,18.1,0.9,12.9,0.0,7.6,6.9,15.3,19.9,18.5,19.2,0.0,3.4,0.9,6.6,0.0,0.0,RB,13.8,34.4,15.3,30.099999999999994,Peter,1,108.1
Peter|2017|6,12.53,16.2,13.2,0.0,18.1,16.7,16.6,4.7,10.0,0.0,0.0,1.8,2.0,0.0,0.0,0.0,RB,29.4,39.5,16.6,3.8,Peter,0,116.03
Peter|2017|7,14.1,18.8,0.0,0.0,6.5,8.6,8.0,21.3,11.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,RB,18.8,36.4,8.0,9.1,Peter,0,97.3
Peter|2017|8,8.07,5.8,27.0,0.0,13.6,13.8,8.4,4.6,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,37.4,27.4,8.4,0.0,Peter,1,104.27
Peter|2017|9,14.63,12.2,4.2,0.0,2.1,5.1,1.4,3.8,23.0,0.0,2.9,0.0,0.0,5.2,0.0,0.0,WR,20.2,7.199999999999999,1.4,8.1,Peter,0,71.43
Peter|2017|10,12.73,12.7,15.8,0.0,27.2,5.4,1.5,4.8,16.5,1.7,2.5,3.6,7.0,0.0,0.0,0.0,WR,33.3,32.6,1.5,14.8,Peter,1,103.13
Peter|2017|11,15.37,15.5,5.2,0.0,7.2,18.5,1.7,4.2,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,WR,24.9,25.7,1.7,11.0,Peter,0,80.67
Peter|2017|12,25.97,10.0,10.0,0.0,11.7,2.9,1.1,5.9,11.0,0.0,4.1,0.0,7.9,12.0,0.0,0.0,WR,25.9,14.6,1.1,24.0,Peter,0,82.07
