week,team_name,in_season_manager_id,manager_name,opponent_team_name,in_season_opponent_manager_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season,win
14,Starr is Born,7,Nick,Thunder Crotches,11,Jake,90.7,77.4,93.57,112.2,2016,0
15,Starr is Born,7,Nick,The Twelve Apostles,5,Jones,99.99,108.1,89.73,68.53,2016,1
1,The fishingtons,8,Buddy,We're Back,14,Nate,100.8,90.67,103.88,97.2,2016,0
2,The fishingtons,8,Buddy,The Scientist,9,Kyle,96.39,93.07,86.65,59.57,2016,1
3,The fishingtons,8,Buddy,Thug Bungalow,10,Michael,105.69,93.9,113.18,71.37,2016,1
4,The fishingtons,8,Buddy,Thunder Crotches,11,Jake,104.69,99.73,106.98,90.37,2016,1
5,The fishingtons,8,Buddy,Victor Cruisin,12,Frags,100.61,126.87,101.33,111.1,2016,1
6,The fishingtons,8,Buddy,who invited canada,13,Peter,106.42,75.2,103.18,115.63,2016,0
7,The fishingtons,8,Buddy,The Ice Cold Bruschi,1,Ricky,106.0,114.07,102.35,94.4,2016,1
8,The fishingtons,8,Buddy,Immortal Duffmen,2,Pat,98.95,138.0,101.71,121.5,2016,1
9,The fishingtons,8,Buddy,Jadeveon's Hit Men,3,Tim,101.23,101.73,96.48,73.07,2016,1
10,The fishingtons,8,Buddy,John Brown's Army,4,Eric,97.38,103.0,56.68,45.93,2016,1
11,The fishingtons,8,Buddy,The Twelve Apostles,5,Jones,104.12,102.03,92.05,101.47,2016,1
12,The fishingtons,8,Buddy,SuperCam That Ho,6,Lauren,107.37,74.87,89.87,90.1,2016,0
13,The fishingtons,8,Buddy,Starr is Born,7,Nick,104.45,105.77,89.31,86.63,2016,1
15,The fishingtons,8,Buddy,We're Back,14,Nate,97.0,63.4,96.63,60.5,2016,1
16,The fishingtons,8,Buddy,SuperCam That Ho,6,Lauren,107.31,89.83,89.29,72.7,2016,1
1,The Scientist,9,Kyle,Starr is Born,7,Nick,90.69,97.63,101.19,116.4,2016,0
2,The Scientist,9,Kyle,The fishingtons,8,Buddy,86.65,59.57,96.39,93.07,2016,0
3,The Scientist,9,Kyle,We're Back,14,Nate,90.95,81.63,90.14,124.67,2016,0
4,The Scientist,9,Kyle,Thug Bungalow,10,Michael,101.74,128.9,111.88,126.0,2016,1
5,The Scientist,9,Kyle,Thunder Crotches,11,Jake,107.11,81.8,100.45,86.37,2016,0
6,The Scientist,9,Kyle,Victor Cruisin,12,Frags,93.0,74.63,112.84,127.3,2016,0
7,The Scientist,9,Kyle,who invited canada,13,Peter,91.78,122.57,96.7,85.0,2016,1
8,The Scientist,9,Kyle,The Ice Cold Bruschi,1,Ricky,85.21,110.5,102.47,90.3,2016,1
9,The Scientist,9,Kyle,Immortal Duffmen,2,Pat,105.45,98.67,111.78,97.7,2016,1
10,The Scientist,9,Kyle,Jadeveon's Hit Men,3,Tim,101.92,119.17,82.57,75.6,2016,1
11,The Scientist,9,Kyle,John Brown's Army,4,Eric,105.1,129.33,58.04,44.8,2016,1
12,The Scientist,9,Kyle,The Twelve Apostles,5,Jones,114.83,109.77,87.08,99.63,2016,1
13,The Scientist,9,Kyle,SuperCam That Ho,6,Lauren,106.72,103.07,85.53,100.77,2016,1
14,The Scientist,9,Kyle,who invited canada,13,Peter,109.57,123.5,103.39,104.83,2016,1
15,The Scientist,9,Kyle,SuperCam That Ho,6,Lauren,109.82,91.83,89.28,96.3,2016,0
16,The Scientist,9,Kyle,We're Back,14,Nate,108.52,151.93,82.74,76.4,2016,1
1,Thug Bungalow,10,Michael,SuperCam That Ho,6,Lauren,104.23,82.0,100.07,94.07,2016,0
2,Thug Bungalow,10,Michael,Starr is Born,7,Nick,105.06,117.73,104.18,59.47,2016,1
3,Thug Bungalow,10,Michael,The fishingtons,8,Buddy,113.18,71.37,105.69,93.9,2016,0
4,Thug Bungalow,10,Michael,The Scientist,9,Kyle,111.88,126.0,101.74,128.9,2016,0
5,Thug Bungalow,10,Michael,We're Back,14,Nate,103.01,92.67,96.83,97.77,2016,0
6,Thug Bungalow,10,Michael,Thunder Crotches,11,Jake,98.51,112.93,104.75,102.37,2016,1
7,Thug Bungalow,10,Michael,Victor Cruisin,12,Frags,99.69,117.57,110.1,109.53,2016,1
8,Thug Bungalow,10,Michael,who invited canada,13,Peter,102.71,98.1,89.89,119.63,2016,0
9,Thug Bungalow,10,Michael,The Ice Cold Bruschi,1,Ricky,101.2,120.9,115.74,138.17,2016,0
10,Thug Bungalow,10,Michael,Immortal Duffmen,2,Pat,94.78,104.5,95.74,85.47,2016,1
11,Thug Bungalow,10,Michael,Jadeveon's Hit Men,3,Tim,88.68,76.83,93.8,81.27,2016,0
12,Thug Bungalow,10,Michael,John Brown's Army,4,Eric,97.01,83.07,60.9,39.63,2016,1
13,Thug Bungalow,10,Michael,The Twelve Apostles,5,Jones,88.85,69.9,83.81,112.23,2016,0
14,Thug Bungalow,10,Michael,The Twelve Apostles,5,Jones,83.39,58.27,94.16,46.53,2016,1
15,Thug Bungalow,10,Michael,Immortal Duffmen,2,Pat,91.43,100.47,74.93,52.3,2016,1
16,Thug Bungalow,10,Michael,Victor Cruisin,12,Frags,91.17,113.83,105.54,105.37,2016,1
1,Thunder Crotches,11,Jake,The Twelve Apostles,5,Jones,99.61,122.0,101.67,94.0,2016,1
2,Thunder Crotches,11,Jake,SuperCam That Ho,6,Lauren,97.2,113.4,100.21,132.67,2016,0
3,Thunder Crotches,11,Jake,Starr is Born,7,Nick,96.14,90.67,99.37,95.37,2016,0
4,Thunder Crotches,11,Jake,The fishingtons,8,Buddy,106.98,90.37,104.69,99.73,2016,0
5,Thunder Crotches,11,Jake,The Scientist,9,Kyle,100.45,86.37,107.11,81.8,2016,1
