week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,season
3,"b""Kurtz' Horror""",14,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,102.7,124.2,91.64,90.4,2015
4,"b""Kurtz' Horror""",14,--hidden--,b'Starr is Born',12,--hidden--,101.58,86.23,85.79,93.8,2015
5,"b""Kurtz' Horror""",14,--hidden--,b'The fishingtons',10,--hidden--,74.34,47.07,92.47,117.8,2015
6,"b""Kurtz' Horror""",14,--hidden--,b'who invited canada',2,--hidden--,101.05,101.73,99.89,132.87,2015
7,"b""Kurtz' Horror""",14,--hidden--,"b""John Brown's Army""",8,--hidden--,90.86,89.37,91.79,69.9,2015
8,"b""Kurtz' Horror""",14,--hidden--,b'who invited canada',2,--hidden--,99.73,95.33,102.23,119.23,2015
9,"b""Kurtz' Horror""",14,--hidden--,b'The Dirty Diapers',4,--hidden--,97.85,104.5,106.15,118.7,2015
10,"b""Kurtz' Horror""",14,--hidden--,"b""Lauren's Legit Team""",6,--hidden--,90.83,101.07,85.64,72.13,2015
11,"b""Kurtz' Horror""",14,--hidden--,"b""John Brown's Army""",8,--hidden--,90.85,67.53,68.05,46.9,2015
12,"b""Kurtz' Horror""",14,--hidden--,b'The fishingtons',10,--hidden--,105.78,68.27,111.83,82.4,2015
13,"b""Kurtz' Horror""",14,--hidden--,b'Starr is Born',12,--hidden--,103.47,82.57,113.92,106.93,2015
14,"b""Kurtz' Horror""",14,--hidden--,b'Immortal Duffmen',11,--hidden--,90.71,83.57,104.58,85.53,2015
15,"b""Kurtz' Horror""",14,--hidden--,b'Thunder Crotches',7,--hidden--,104.62,94.0,95.99,127.77,2015
1,b'The Ice Cold Bruschi',1,--hidden--,b'Immortal Duffmen',2,--hidden--,104.46,108.7,108.96,109.13,2016
2,b'The Ice Cold Bruschi',1,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,102.09,114.63,110.44,83.57,2016
3,b'The Ice Cold Bruschi',1,--hidden--,"b""John Brown's Army""",4,--hidden--,105.25,125.93,92.19,81.57,2016
4,b'The Ice Cold Bruschi',1,--hidden--,b'The Twelve Apostles',5,--hidden--,100.27,109.63,102.17,85.3,2016
5,b'The Ice Cold Bruschi',1,--hidden--,b'SuperCam That Ho',6,--hidden--,99.08,128.73,89.9,75.1,2016
6,b'The Ice Cold Bruschi',1,--hidden--,b'Starr is Born',7,--hidden--,100.08,112.63,105.03,92.27,2016
7,b'The Ice Cold Bruschi',1,--hidden--,b'The fishingtons',8,--hidden--,102.35,94.4,106.0,114.07,2016
8,b'The Ice Cold Bruschi',1,--hidden--,b'The Scientist',9,--hidden--,102.47,90.3,85.21,110.5,2016
9,b'The Ice Cold Bruschi',1,--hidden--,b'Thug Bungalow',10,--hidden--,115.74,138.17,101.2,120.9,2016
10,b'The Ice Cold Bruschi',1,--hidden--,b'Thunder Crotches',11,--hidden--,104.22,137.33,95.3,82.8,2016
11,b'The Ice Cold Bruschi',1,--hidden--,b'Victor Cruisin',12,--hidden--,107.04,125.83,92.04,78.5,2016
12,b'The Ice Cold Bruschi',1,--hidden--,b'who invited canada',13,--hidden--,106.11,138.43,104.38,140.27,2016
13,b'The Ice Cold Bruschi',1,--hidden--,"b""We're Back""",14,--hidden--,105.42,82.97,75.03,83.07,2016
14,b'The Ice Cold Bruschi',1,--hidden--,"b""We're Back""",14,--hidden--,105.36,87.43,92.89,91.2,2016
15,b'The Ice Cold Bruschi',1,--hidden--,b'who invited canada',13,--hidden--,109.27,88.97,107.74,102.3,2016
1,b'Immortal Duffmen',2,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,108.96,109.13,104.46,108.7,2016
