week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against
7,"b""We're Back""",13,--hidden--,b'The Scientist',9,--hidden--,122.72,105.52,128.07,119.52
8,"b""We're Back""",13,--hidden--,b'The Twelve Apostles',10,--hidden--,137.15,126.28,142.85,145.18
9,"b""We're Back""",13,--hidden--,b'Thug Bungalow',11,--hidden--,139.74,142.0,115.32,100.26
10,"b""We're Back""",13,--hidden--,b'Thunder Crotches',12,--hidden--,122.25,139.3,103.93,116.78
11,"b""We're Back""",13,--hidden--,b'who invited canada',14,--hidden--,128.61,143.76,114.29,86.98
12,"b""We're Back""",13,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,123.12,126.58,148.38,177.96
13,"b""We're Back""",13,--hidden--,b'Immortal Duffmen',2,--hidden--,154.9,124.54,108.62,121.68
14,"b""We're Back""",13,--hidden--,b'The fishingtons',8,--hidden--,150.06,124.48,139.19,136.2
15,"b""We're Back""",13,--hidden--,"b""John Brown's Army""",4,--hidden--,142.3,131.08,111.89,110.1
1,b'who invited canada',14,--hidden--,b'The fishingtons',8,--hidden--,125.45,103.32,139.82,147.92
2,b'who invited canada',14,--hidden--,b'Immortal Duffmen',2,--hidden--,132.85,114.26,141.39,165.8
3,b'who invited canada',14,--hidden--,b'The Scientist',9,--hidden--,125.26,163.42,132.87,116.1
4,b'who invited canada',14,--hidden--,"b""Jadeveon's Hit Men""",3,--hidden--,124.52,143.3,133.16,125.2
5,b'who invited canada',14,--hidden--,b'The Twelve Apostles',10,--hidden--,122.31,137.34,124.71,166.22
6,b'who invited canada',14,--hidden--,"b""John Brown's Army""",4,--hidden--,136.9,144.0,148.44,165.52
7,b'who invited canada',14,--hidden--,b'Thug Bungalow',11,--hidden--,132.51,101.16,119.71,85.24
8,b'who invited canada',14,--hidden--,b'Saquon These Nuts',5,--hidden--,121.59,73.8,145.13,121.96
9,b'who invited canada',14,--hidden--,b'Thunder Crotches',12,--hidden--,108.85,144.04,108.79,83.68
10,b'who invited canada',14,--hidden--,b'Starr is Born',6,--hidden--,113.7,90.86,119.76,107.14
11,b'who invited canada',14,--hidden--,"b""We're Back""",13,--hidden--,114.29,86.98,128.61,143.76
12,b'who invited canada',14,--hidden--,b'SuperCam That Ho',7,--hidden--,114.76,81.78,104.06,102.52
13,b'who invited canada',14,--hidden--,b'The Ice Cold Bruschi',1,--hidden--,117.43,123.52,148.33,149.3
