week,team_name,season_id,manager_name,opponent_team_name,opponent_season_id,opponent_name,projected_points_for,points_for,projected_points_against,points_against,inverse_matchup
15,b'Thug Bungalow',11,Mike,b'The Ice Cold Bruschi',1,Ricky,141.77,106.74,150.18,168.98,1
15,b'Immortal Duffmen',2,PD,b'Saquon These Nuts',5,matt,122.54,129.8,102.29,106.72,0
15,b'Saquon These Nuts',5,matt,b'Immortal Duffmen',2,PD,102.29,106.72,122.54,129.8,1
15,"b""Jadeveon's Hit Men""",3,Tim,b'The fishingtons',8,mike,146.36,126.62,132.93,130.02,0
15,b'The fishingtons',8,mike,"b""Jadeveon's Hit Men""",3,Tim,132.93,130.02,146.36,126.62,1
15,"b""John Brown's Army""",4,Eric,"b""We're Back""",13,Nate,111.89,110.1,142.3,131.08,0
15,"b""We're Back""",13,Nate,"b""John Brown's Army""",4,Eric,142.3,131.08,111.89,110.1,1
15,b'Starr is Born',6,Nick,b'The Twelve Apostles',10,Matt Jones,134.22,136.86,141.44,129.54,0
15,b'The Twelve Apostles',10,Matt Jones,b'Starr is Born',6,Nick,141.44,129.54,134.22,136.86,1
15,b'SuperCam That Ho',7,Lauren,b'The Scientist',9,Kyle,120.6,124.2,106.16,114.48,0
15,b'The Scientist',9,Kyle,b'SuperCam That Ho',7,Lauren,106.16,114.48,120.6,124.2,1
16,b'The Ice Cold Bruschi',1,Ricky,b'Immortal Duffmen',2,PD,157.95,179.92,123.52,132.46,0
16,b'Immortal Duffmen',2,PD,b'The Ice Cold Bruschi',1,Ricky,123.52,132.46,157.95,179.92,1
16,"b""Jadeveon's Hit Men""",3,Tim,b'The Twelve Apostles',10,Matt Jones,139.2,113.96,135.9,157.96,0
16,b'The Twelve Apostles',10,Matt Jones,"b""Jadeveon's Hit Men""",3,Tim,135.9,157.96,139.2,113.96,1
16,b'Saquon These Nuts',5,matt,b'Thug Bungalow',11,Mike,85.82,74.94,135.42,132.06,0
16,b'Thug Bungalow',11,Mike,b'Saquon These Nuts',5,matt,135.42,132.06,85.82,74.94,1
16,b'Starr is Born',6,Nick,b'The fishingtons',8,mike,143.93,140.78,135.99,123.14,0
16,b'The fishingtons',8,mike,b'Starr is Born',6,Nick,135.99,123.14,143.93,140.78,1
